95	82
100	88
110	97
130	115
170	166
146	122
151	128
161	140
181	164
221	210
248	186
253	196
263	216
283	244
323	292
452	322
457	332
467	352
487	392
527	452
860	594
865	604
875	624
895	664
935	744

105	92
110	98
120	107
140	125
180	176
173	139
178	149
188	165
208	182
248	240
309	229
314	250
324	280
344	300
384	367
581	409
586	419
596	439
616	497
656	558
1125	769
1130	779
1140	799
1160	839
1200	953

172	152
183	174
204	200
246	244
330	326
245	204
256	230
277	265
319	315
403	375
391	311
402	322
423	345
465	444
549	472
683	523
694	534
715	557
757	603
841	747
1267	947
1278	958
1299	981
1341	1027
1425	1120

182	162
193	184
214	210
256	254
340	334
265	224
276	250
297	285
339	335
423	390
431	351
442	362
463	385
505	484
589	502
763	603
774	614
795	637
837	683
921	827
1427	1107
1438	1118
1459	1141
1501	1187
1585	1280

{-------------------------------------------------------------}
95	82
100	88
110	97
130	115
170	166
146	122
151	128
161	140
181	164
221	210
248	186
253	196
263	216
283	244
323	292
452	322
457	332
467	352
487	392
527	452
860	594
865	604
875	624
895	664
935	744

105	92
110	98
120	107
140	125
180	176
173	139
178	149
188	165
208	182
248	240
309	229
314	250
324	280
344	300
384	367
581	409
586	419
596	439
616	497
656	558
1125	769
1130	779
1140	799
1160	839
1200	953

172	152
183	174
204	200
246	244
330	326
245	204
256	230
277	265
319	315
403	375
391	311
402	322
423	345
465	444
549	472
683	523
694	534
715	557
757	603
841	747
1267	947
1278	958
1299	981
1341	1027
1425	1120

182	162
193	184
214	210
256	254
340	334
265	224
276	250
297	285
339	335
423	390
431	351
442	362
463	385
505	484
589	502
763	603
774	614
795	637
837	683
921	827
1427	1107
1438	1118
1459	1141
1501	1187
1585	1280

{-------------------------------------------------------------}
/-------------------------------------------------------------/
125	86
128	91
134	98
146	128
170	141
200	122
203	127
209	136
221	163
245	194
352	206
355	211
361	220
373	239
397	290
654	374
657	379
663	388
675	407
699	444
1260	710
1263	715
1269	724
1281	743
1305	780

131	102
134	94
140	104
152	118
176	147
229	148
232	161
238	169
250	182
274	214
423	291
426	295
432	303
444	317
468	347
813	556
816	560
822	568
834	584
858	611
1591	1085
1594	1089
1600	1097
1612	1113
1636	1145

227	187
233	191
246	213
270	242
320	281
327	257
334	268
346	290
371	332
420	355
528	422
534	424
547	375
571	495
621	499
929	738
936	715
948	738
973	787
1022	884
1732	1370
1738	1309
1751	1331
1775	1376
1825	1461

234	186
240	198
252	219
277	258
326	287
341	270
347	281
359	304
384	346
433	404
555	446
561	461
573	471
598	515
647	522
983	788
989	770
1001	793
1026	850
1075	941
1839	1474
1845	1416
1857	1438
1882	1483
1931	1568

{-------------------------------------------------------------}
125	86
128	91
134	98
146	128
170	141
200	122
203	127
209	136
221	163
245	194
352	206
355	211
361	220
373	239
397	290
654	374
657	379
663	388
675	407
699	444
1260	710
1263	715
1269	724
1281	743
1305	780

131	102
134	94
140	104
152	118
176	147
229	148
232	161
238	169
250	182
274	214
423	291
426	295
432	303
444	317
468	347
813	556
816	560
822	568
834	584
858	611
1591	1085
1594	1089
1600	1097
1612	1113
1636	1145

227	187
233	191
246	213
270	242
320	281
327	257
334	268
346	290
371	332
420	355
528	422
534	424
547	375
571	495
621	499
929	738
936	715
948	738
973	787
1022	884
1732	1370
1738	1309
1751	1331
1775	1376
1825	1461

234	186
240	198
252	219
277	258
326	287
341	270
347	281
359	304
384	346
433	404
555	446
561	461
573	471
598	515
647	522
983	788
989	770
1001	793
1026	850
1075	941
1839	1474
1845	1416
1857	1438
1882	1483
1931	1568

{-------------------------------------------------------------}
/-------------------------------------------------------------/
