0	0
0	0
0	0
32	28
120	106
36	34
44	44
84	72
164	138
324	282
432	238
452	274
492	358
572	416
732	608
1248	730
1268	770
1308	850
1388	1010
1548	1248
2880	1818
2900	1858
2940	1938
3020	2098
3180	2418

0	0
0	0
10	0
42	38
160	146
132	84
152	90
192	122
272	176
432	400
676	376
696	446
736	562
816	642
976	908
1764	1078
1784	1118
1824	1198
1904	1430
2064	1674
3940	2518
3960	2558
4000	2638
4080	2798
4240	3254

130	102
174	126
258	214
426	400
762	762
422	290
466	360
550	492
718	632
1054	1054
1006	826
1050	730
1134	822
1302	1216
1638	1468
2174	1532
2218	1578
2302	1670
2470	1854
2806	2428
4510	3228
4554	3274
4638	3366
4806	3550
5142	3922

170	106
214	164
298	254
466	440
802	802
502	370
546	440
630	572
798	712
1134	1134
1166	986
1210	890
1294	982
1462	1376
1798	1588
2494	1852
2538	1898
2622	1990
2790	2174
3126	2748
5150	3868
5194	3914
5278	4006
5446	4190
5782	4562

{-------------------------------------------------------------}
0	0
0	0
0	0
32	28
120	106
36	34
44	44
84	72
164	138
324	282
432	238
452	274
492	358
572	416
732	608
1248	730
1268	770
1308	850
1388	1010
1548	1248
2880	1818
2900	1858
2940	1938
3020	2098
3180	2418

0	0
0	0
10	0
42	38
160	146
132	84
152	90
192	122
272	176
432	400
676	376
696	446
736	562
816	642
976	908
1764	1078
1784	1118
1824	1198
1904	1430
2064	1674
3940	2518
3960	2558
4000	2638
4080	2798
4240	3254

130	102
174	126
258	214
426	400
762	762
422	290
466	360
550	492
718	632
1054	1054
1006	826
1050	730
1134	822
1302	1216
1638	1468
2174	1532
2218	1578
2302	1670
2470	1854
2806	2428
4510	3228
4554	3274
4638	3366
4806	3550
5142	3922

170	106
214	164
298	254
466	440
802	802
502	370
546	440
630	572
798	712
1134	1134
1166	986
1210	890
1294	982
1462	1376
1798	1588
2494	1852
2538	1898
2622	1990
2790	2174
3126	2748
5150	3868
5194	3914
5278	4006
5446	4190
5782	4562

{-------------------------------------------------------------}
/-------------------------------------------------------------/
380	144
416	172
488	240
632	420
920	732
1288	640
1324	688
1396	784
1540	976
1828	1350
3104	1496
3140	1552
3212	1664
3356	1888
3644	2504
6736	3512
6772	3568
6844	3680
6988	3904
7276	4352
14000	7544
14036	7600
14108	7712
14252	7936
14540	8384

460	176
496	208
568	270
712	500
1000	812
1628	932
1664	980
1736	1058
1880	1194
2168	1596
3964	2520
4000	2568
4072	2664
4216	2824
4504	3188
8636	5696
8672	5744
8744	5840
8888	6032
9176	6352
17980	12048
18016	12096
18088	12192
18232	12384
18520	12768

1610	970
1686	992
1834	1438
2130	1896
2722	2504
2814	1796
2890	2104
3038	2370
3334	2870
3926	3576
5222	3776
5298	3228
5446	4212
5742	4216
6334	5012
10038	7704
10114	7490
10262	7758
10558	8272
11150	9490
19670	15288
19746	14540
19894	14862
20190	15398
20782	16416

1690	1040
1766	1062
1914	1518
2210	1976
2802	2584
2974	2146
3050	2264
3198	2530
3494	3030
4086	3736
5542	4096
5618	3508
5766	4532
6062	4496
6654	5292
10678	8344
10754	8130
10902	8398
11198	8912
11790	10130
20950	16568
21026	15820
21174	16142
21470	16678
22062	17696

{-------------------------------------------------------------}
380	144
416	172
488	240
632	420
920	732
1288	640
1324	688
1396	784
1540	976
1828	1350
3104	1496
3140	1552
3212	1664
3356	1888
3644	2504
6736	3512
6772	3568
6844	3680
6988	3904
7276	4352
14000	7544
14036	7600
14108	7712
14252	7936
14540	8384

460	176
496	208
568	270
712	500
1000	812
1628	932
1664	980
1736	1058
1880	1194
2168	1596
3964	2520
4000	2568
4072	2664
4216	2824
4504	3188
8636	5696
8672	5744
8744	5840
8888	6032
9176	6352
17980	12048
18016	12096
18088	12192
18232	12384
18520	12768

1610	970
1686	992
1834	1438
2130	1896
2722	2504
2814	1796
2890	2104
3038	2370
3334	2870
3926	3576
5222	3776
5298	3228
5446	4212
5742	4216
6334	5012
10038	7704
10114	7490
10262	7758
10558	8272
11150	9490
19670	15288
19746	14540
19894	14862
20190	15398
20782	16416

1690	1040
1766	1062
1914	1518
2210	1976
2802	2584
2974	2146
3050	2264
3198	2530
3494	3030
4086	3736
5542	4096
5618	3508
5766	4532
6062	4496
6654	5292
10678	8344
10754	8130
10902	8398
11198	8912
11790	10130
20950	16568
21026	15820
21174	16142
21470	16678
22062	17696

{-------------------------------------------------------------}
/-------------------------------------------------------------/
