10, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192 Начальное решение
6, 4, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192
6, 3, 3; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 6, 4, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 6, 3, 3; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 6, 4, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 6, 3, 3; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 6, 4, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 6, 3, 3; 10, 2;  200
10, 2; 10, 2; 10, 2; 10, 2; 6, 4, 2;  192
10, 2; 10, 2; 10, 2; 10, 2; 6, 3, 3;  192
комбинации типов
6, 4, 2; 6, 4, 2; 10, 2; 10, 2; 10, 2;  192
6, 4, 2; 6, 3, 3; 10, 2; 10, 2; 10, 2;  192
6, 3, 3; 6, 4, 2; 10, 2; 10, 2; 10, 2;  192
6, 3, 3; 6, 3, 3; 10, 2; 10, 2; 10, 2;  192
6, 4, 2; 10, 2; 6, 4, 2; 10, 2; 10, 2;  192
6, 4, 2; 10, 2; 6, 3, 3; 10, 2; 10, 2;  192
6, 3, 3; 10, 2; 6, 4, 2; 10, 2; 10, 2;  192
6, 3, 3; 10, 2; 6, 3, 3; 10, 2; 10, 2;  192
6, 4, 2; 10, 2; 10, 2; 6, 4, 2; 10, 2;  192
6, 4, 2; 10, 2; 10, 2; 6, 3, 3; 10, 2;  200
6, 3, 3; 10, 2; 10, 2; 6, 4, 2; 10, 2;  192
6, 3, 3; 10, 2; 10, 2; 6, 3, 3; 10, 2;  200
6, 4, 2; 10, 2; 10, 2; 10, 2; 6, 4, 2;  192
6, 4, 2; 10, 2; 10, 2; 10, 2; 6, 3, 3;  192
6, 3, 3; 10, 2; 10, 2; 10, 2; 6, 4, 2;  192
6, 3, 3; 10, 2; 10, 2; 10, 2; 6, 3, 3;  192
10, 2; 6, 4, 2; 6, 4, 2; 10, 2; 10, 2;  192
10, 2; 6, 4, 2; 6, 3, 3; 10, 2; 10, 2;  192
10, 2; 6, 3, 3; 6, 4, 2; 10, 2; 10, 2;  192
10, 2; 6, 3, 3; 6, 3, 3; 10, 2; 10, 2;  192
10, 2; 6, 4, 2; 10, 2; 6, 4, 2; 10, 2;  192
10, 2; 6, 4, 2; 10, 2; 6, 3, 3; 10, 2;  200
10, 2; 6, 3, 3; 10, 2; 6, 4, 2; 10, 2;  192
10, 2; 6, 3, 3; 10, 2; 6, 3, 3; 10, 2;  200
10, 2; 6, 4, 2; 10, 2; 10, 2; 6, 4, 2;  192
10, 2; 6, 4, 2; 10, 2; 10, 2; 6, 3, 3;  192
10, 2; 6, 3, 3; 10, 2; 10, 2; 6, 4, 2;  192
10, 2; 6, 3, 3; 10, 2; 10, 2; 6, 3, 3;  192
10, 2; 10, 2; 6, 4, 2; 6, 4, 2; 10, 2;  192
10, 2; 10, 2; 6, 4, 2; 6, 3, 3; 10, 2;  200
10, 2; 10, 2; 6, 3, 3; 6, 4, 2; 10, 2;  192
10, 2; 10, 2; 6, 3, 3; 6, 3, 3; 10, 2;  200
10, 2; 10, 2; 6, 4, 2; 10, 2; 6, 4, 2;  192
10, 2; 10, 2; 6, 4, 2; 10, 2; 6, 3, 3;  192
10, 2; 10, 2; 6, 3, 3; 10, 2; 6, 4, 2;  192
10, 2; 10, 2; 6, 3, 3; 10, 2; 6, 3, 3;  192
10, 2; 10, 2; 10, 2; 6, 4, 2; 6, 4, 2;  192
10, 2; 10, 2; 10, 2; 6, 4, 2; 6, 3, 3;  192
10, 2; 10, 2; 10, 2; 6, 3, 3; 6, 4, 2;  200
10, 2; 10, 2; 10, 2; 6, 3, 3; 6, 3, 3;  200
окрестность 1 вида
