10, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192 Начальное решение
2, 2, 2, 2, 2, 2; 10, 2; 8, 4; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 8, 4; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 8, 4;  184
комбинации типов
2, 2, 2, 2, 2, 2; 8, 4; 8, 4; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 8, 4; 10, 2; 8, 4; 10, 2;  184
2, 2, 2, 2, 2, 2; 8, 4; 10, 2; 10, 2; 8, 4;  184
2, 2, 2, 2, 2, 2; 10, 2; 8, 4; 8, 4; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 8, 4; 10, 2; 8, 4;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 8, 4; 8, 4;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 7, 5; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 7, 5; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 7, 5; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 7, 5;  184
комбинации типов
2, 2, 2, 2, 2, 2; 7, 5; 7, 5; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 7, 5; 10, 2; 7, 5; 10, 2;  184
2, 2, 2, 2, 2, 2; 7, 5; 10, 2; 10, 2; 7, 5;  184
2, 2, 2, 2, 2, 2; 10, 2; 7, 5; 7, 5; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 7, 5; 10, 2; 7, 5;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 7, 5; 7, 5;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 6, 6; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 6; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 6, 6; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 6, 6;  184
комбинации типов
2, 2, 2, 2, 2, 2; 6, 6; 6, 6; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 6, 6; 10, 2; 6, 6; 10, 2;  184
2, 2, 2, 2, 2, 2; 6, 6; 10, 2; 10, 2; 6, 6;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 6; 6, 6; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 6; 10, 2; 6, 6;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 6, 6; 6, 6;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 8, 2, 2; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 8, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 8, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 8, 2, 2;  184
комбинации типов
2, 2, 2, 2, 2, 2; 8, 2, 2; 8, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 8, 2, 2; 10, 2; 8, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 8, 2, 2; 10, 2; 10, 2; 8, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 8, 2, 2; 8, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 8, 2, 2; 10, 2; 8, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 8, 2, 2; 8, 2, 2;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 7, 3, 2; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 7, 3, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 7, 3, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 7, 3, 2;  184
комбинации типов
2, 2, 2, 2, 2, 2; 7, 3, 2; 7, 3, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 7, 3, 2; 10, 2; 7, 3, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 7, 3, 2; 10, 2; 10, 2; 7, 3, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 7, 3, 2; 7, 3, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 7, 3, 2; 10, 2; 7, 3, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 7, 3, 2; 7, 3, 2;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 6, 4, 2; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 6, 3, 3; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 4, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 3, 3; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 6, 4, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 6, 3, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 6, 4, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 6, 3, 3;  184
комбинации типов
2, 2, 2, 2, 2, 2; 6, 4, 2; 6, 4, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 6, 4, 2; 6, 3, 3; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 6, 3, 3; 6, 4, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 6, 3, 3; 6, 3, 3; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 6, 4, 2; 10, 2; 6, 4, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 6, 4, 2; 10, 2; 6, 3, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 6, 3, 3; 10, 2; 6, 4, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 6, 3, 3; 10, 2; 6, 3, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 6, 4, 2; 10, 2; 10, 2; 6, 4, 2;  184
2, 2, 2, 2, 2, 2; 6, 4, 2; 10, 2; 10, 2; 6, 3, 3;  184
2, 2, 2, 2, 2, 2; 6, 3, 3; 10, 2; 10, 2; 6, 4, 2;  184
2, 2, 2, 2, 2, 2; 6, 3, 3; 10, 2; 10, 2; 6, 3, 3;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 4, 2; 6, 4, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 4, 2; 6, 3, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 3, 3; 6, 4, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 3, 3; 6, 3, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 4, 2; 10, 2; 6, 4, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 4, 2; 10, 2; 6, 3, 3;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 3, 3; 10, 2; 6, 4, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 3, 3; 10, 2; 6, 3, 3;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 6, 4, 2; 6, 4, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 6, 4, 2; 6, 3, 3;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 6, 3, 3; 6, 4, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 6, 3, 3; 6, 3, 3;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 5, 5, 2; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 5, 4, 3; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 5, 5, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 5, 4, 3; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 5, 5, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 5, 4, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 5, 5, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 5, 4, 3;  184
комбинации типов
2, 2, 2, 2, 2, 2; 5, 5, 2; 5, 5, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 5, 5, 2; 5, 4, 3; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 5, 4, 3; 5, 5, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 5, 4, 3; 5, 4, 3; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 5, 5, 2; 10, 2; 5, 5, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 5, 5, 2; 10, 2; 5, 4, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 5, 4, 3; 10, 2; 5, 5, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 5, 4, 3; 10, 2; 5, 4, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 5, 5, 2; 10, 2; 10, 2; 5, 5, 2;  184
2, 2, 2, 2, 2, 2; 5, 5, 2; 10, 2; 10, 2; 5, 4, 3;  184
2, 2, 2, 2, 2, 2; 5, 4, 3; 10, 2; 10, 2; 5, 5, 2;  184
2, 2, 2, 2, 2, 2; 5, 4, 3; 10, 2; 10, 2; 5, 4, 3;  184
2, 2, 2, 2, 2, 2; 10, 2; 5, 5, 2; 5, 5, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 5, 5, 2; 5, 4, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 5, 4, 3; 5, 5, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 5, 4, 3; 5, 4, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 5, 5, 2; 10, 2; 5, 5, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 5, 5, 2; 10, 2; 5, 4, 3;  184
2, 2, 2, 2, 2, 2; 10, 2; 5, 4, 3; 10, 2; 5, 5, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 5, 4, 3; 10, 2; 5, 4, 3;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 5, 5, 2; 5, 5, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 5, 5, 2; 5, 4, 3;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 5, 4, 3; 5, 5, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 5, 4, 3; 5, 4, 3;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 4, 4, 4; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 4, 4; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 4, 4, 4; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 4, 4, 4;  184
комбинации типов
2, 2, 2, 2, 2, 2; 4, 4, 4; 4, 4, 4; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 4, 4, 4; 10, 2; 4, 4, 4; 10, 2;  184
2, 2, 2, 2, 2, 2; 4, 4, 4; 10, 2; 10, 2; 4, 4, 4;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 4, 4; 4, 4, 4; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 4, 4; 10, 2; 4, 4, 4;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 4, 4, 4; 4, 4, 4;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 6, 2, 2, 2; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 2, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 6, 2, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 6, 2, 2, 2;  184
комбинации типов
2, 2, 2, 2, 2, 2; 6, 2, 2, 2; 6, 2, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 6, 2, 2, 2; 10, 2; 6, 2, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 6, 2, 2, 2; 10, 2; 10, 2; 6, 2, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 2, 2, 2; 6, 2, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 6, 2, 2, 2; 10, 2; 6, 2, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 6, 2, 2, 2; 6, 2, 2, 2;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 5, 3, 2, 2; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 5, 3, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 5, 3, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 5, 3, 2, 2;  184
комбинации типов
2, 2, 2, 2, 2, 2; 5, 3, 2, 2; 5, 3, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 5, 3, 2, 2; 10, 2; 5, 3, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 5, 3, 2, 2; 10, 2; 10, 2; 5, 3, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 5, 3, 2, 2; 5, 3, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 5, 3, 2, 2; 10, 2; 5, 3, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 5, 3, 2, 2; 5, 3, 2, 2;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 4, 4, 2, 2; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 4, 3, 3, 2; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 4, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 3, 3, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 4, 4, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 4, 3, 3, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 4, 4, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 4, 3, 3, 2;  184
комбинации типов
2, 2, 2, 2, 2, 2; 4, 4, 2, 2; 4, 4, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 4, 4, 2, 2; 4, 3, 3, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 4, 3, 3, 2; 4, 4, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 4, 3, 3, 2; 4, 3, 3, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 4, 4, 2, 2; 10, 2; 4, 4, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 4, 4, 2, 2; 10, 2; 4, 3, 3, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 4, 3, 3, 2; 10, 2; 4, 4, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 4, 3, 3, 2; 10, 2; 4, 3, 3, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 4, 4, 2, 2; 10, 2; 10, 2; 4, 4, 2, 2;  184
2, 2, 2, 2, 2, 2; 4, 4, 2, 2; 10, 2; 10, 2; 4, 3, 3, 2;  184
2, 2, 2, 2, 2, 2; 4, 3, 3, 2; 10, 2; 10, 2; 4, 4, 2, 2;  184
2, 2, 2, 2, 2, 2; 4, 3, 3, 2; 10, 2; 10, 2; 4, 3, 3, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 4, 2, 2; 4, 4, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 4, 2, 2; 4, 3, 3, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 3, 3, 2; 4, 4, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 3, 3, 2; 4, 3, 3, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 4, 2, 2; 10, 2; 4, 4, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 4, 2, 2; 10, 2; 4, 3, 3, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 3, 3, 2; 10, 2; 4, 4, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 3, 3, 2; 10, 2; 4, 3, 3, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 4, 4, 2, 2; 4, 4, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 4, 4, 2, 2; 4, 3, 3, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 4, 3, 3, 2; 4, 4, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 4, 3, 3, 2; 4, 3, 3, 2;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 3, 3, 3, 3; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 3, 3, 3, 3; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 3, 3, 3, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 3, 3, 3, 3;  184
комбинации типов
2, 2, 2, 2, 2, 2; 3, 3, 3, 3; 3, 3, 3, 3; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 3, 3, 3, 3; 10, 2; 3, 3, 3, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 3, 3, 3, 3; 10, 2; 10, 2; 3, 3, 3, 3;  184
2, 2, 2, 2, 2, 2; 10, 2; 3, 3, 3, 3; 3, 3, 3, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 3, 3, 3, 3; 10, 2; 3, 3, 3, 3;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 3, 3, 3, 3; 3, 3, 3, 3;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 4, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 2, 2, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 4, 2, 2, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 4, 2, 2, 2, 2;  184
комбинации типов
2, 2, 2, 2, 2, 2; 4, 2, 2, 2, 2; 4, 2, 2, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 4, 2, 2, 2, 2; 10, 2; 4, 2, 2, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 4, 2, 2, 2, 2; 10, 2; 10, 2; 4, 2, 2, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 2, 2, 2, 2; 4, 2, 2, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 4, 2, 2, 2, 2; 10, 2; 4, 2, 2, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 4, 2, 2, 2, 2; 4, 2, 2, 2, 2;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 3, 3, 2, 2, 2; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 3, 3, 2, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 3, 3, 2, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 3, 3, 2, 2, 2;  184
комбинации типов
2, 2, 2, 2, 2, 2; 3, 3, 2, 2, 2; 3, 3, 2, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 3, 3, 2, 2, 2; 10, 2; 3, 3, 2, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 3, 3, 2, 2, 2; 10, 2; 10, 2; 3, 3, 2, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 3, 3, 2, 2, 2; 3, 3, 2, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 3, 3, 2, 2, 2; 10, 2; 3, 3, 2, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 3, 3, 2, 2, 2; 3, 3, 2, 2, 2;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 2, 2, 2, 2, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 2, 2, 2, 2, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 2, 2, 2, 2, 2, 2;  184
комбинации типов
2, 2, 2, 2, 2, 2; 2, 2, 2, 2, 2, 2; 2, 2, 2, 2, 2, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 2, 2, 2, 2, 2, 2; 10, 2; 2, 2, 2, 2, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 2, 2, 2, 2, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 2, 2, 2, 2, 2, 2; 2, 2, 2, 2, 2, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 2, 2, 2, 2, 2, 2; 10, 2; 2, 2, 2, 2, 2, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 2, 2, 2, 2, 2, 2; 2, 2, 2, 2, 2, 2;  184
окрестность 1 вида
комбинации типов
